text,headline
"москва, 31 янв - риа новости. большая часть из 33 детей, которых граждане сша пытались вывезти из гаити в организованный в доминиканской республике приют, не являются сиротами, сообщает в воскресенье агентство франс пресс со ссылкой на заявление представителя международной организации детские деревни sos sos children s village, оказывающей помощь детям, оставшимся без родителей как заявила агентству патрисия варгас patricia vargas, курирующая программы детских деревень sos в центральной америке, мексике и на карибах, поговорив с детьми она выяснила, что родители многих из них живы. некоторые дети смогли назвать свои домашние адреса и номера телефонов, что дает возможность связаться с их родителями. в это воскресенье гаитянская полиция задержала десятерых граждан сша, подозреваемых в попытке без разрешения вывезти более 30 детей в доминиканскую республику. представитель баптистской церкви в городе меридиан американского штата айдахо шон лэнкфорд sean lankford заявил, что задержанные прибыли на гаити в составе группы, помогающей детям, которые остались без родителей после разрушительного землетрясения 12 января. лэнкфорд также сообщил, что в числе задержанных его дочь и жена, и они думали, что у них имеются все необходимые документы, позволяющие вывезти детей в организованный в доминиканской республике приют. в настоящее время все эти дети, за исключением маленькой девочки, страдающей от истощения, которая была госпитализирована, находятся в благотворительном центре организации в городе круа-де-букет croix des bouquets, расположенном в 12 километрах к северо-востоку от столицы гаити порт-о-пренса. по словам варгас, точный возраст малышки не известен, врачи полагают, что ей около 7 месяцев. центр детских деревень sos на гаити юридически не является сиротским приютом и не отдает детей на усыновление. ранее гаитянские интернет-ресурсы сообщали, что за детьми, оставшимися сиротами после землетрясения, охотятся педофилы и торговцы людьми как отмечает франс пресс, после разгула стихии на гаити были установлены новые правила усыновления, согласно которым премьер-министр страны жан-макс бельрив должен лично разрешить вывоз сирот. целью подобных мер является пресечение попыток незаконного вывоза детей для преступных целей в условиях хаоса, царящего в стране после разгула стихии. по данным ответственных лиц на гаити, тысячи детей могли быть разлучены с родителями или лишиться их в результате двух землетрясений магнитудой 7 и 5,9, произошедших у побережья этого островного государства 12 января.","большинство детей, которых пытались увезти в сша из гаити, не сироты"
"киев, 31 янв - риа новости, марина шмаюн. премьер-министр украины, кандидат в президенты юлия тимошенко в воскресенье в прямом эфире украинского телеканала 1 1 заявила, что в случае ее победы на выборах президента юрий луценко будет работать в ее команде. 17 января в украине состоялся первый тур выборов президента, по итогам которого виктор янукович набрал 35,32% голосов, а премьер-министр страны юлия тимошенко оказалась на втором месте с результатом 25,05%. второй тур выборов президента украины состоится 7 февраля. парламент украины по инициативе партии регионов 28 января отправил в отставку главу мвд юрия луценко, однако премьер-министр юлия тимошенко внесла в кабмин его кандидатуру на утверждение первым замминистра внутренних дел с полномочиями и.о. министра. правительство единогласно поддержало это предложение. партия регионов оспорила это решение кабмина в суде. что касается новых назначений, то знаете, как народная мудрость гласит: не нужно говорить гоп, пока еще не произошло событие. потому я считаю, что нужно сначала выиграть выборы, обсудить все вопросы создания новой команды, и я убеждена, что юрий луценко в команде будет работать, - сказала тимошенко.","луценко будет работать в команде тимошенко, если она победит в выборах"
"киев, 31 янв - риа новости. до 7 февраля - того дня, когда граждане украины решат, кто на ближайшие пять лет возьмет бразды правления страной в свои руки, - осталась ровно неделя. на пост президента претендуют, как и предсказывали последний год, все те же два человека - действующий премьер-министр юлия тимошенко, чье имя носит одноименный политический блок бют, и бывший премьер, лидер оппозиционной партии регионов виктор янукович. сделать выбор для многих на украине будет непросто - оба политика уже порядком поднадоели согражданам, и многие из них раздумывают, голосовать ли за кого-либо из них, либо против всех, либо вообще не прийти на избирательный участок. последнее становится еще более актуальным благодаря мэру киева леониду черновецкому - не расчищенные коммунальщиками ледяные торосы на тротуарах отнюдь не способствуют желанию гулять по зимней столице. к тому же лютый - так по-украински называется февраль - оправдывает свое имя: вскорости после оттепели в самом начале месяца синоптики прогнозируют снижение температуры до минус восьми - минус 10 градусов. закрытые опросы: кто кого и кто над кем? официально на украине публикация каких-либо социологических опросов о благосклонности граждан к тому или иному политику, участвующему в президентской гонке, запрещена за 15 дней до начала голосования. так как дата второго тура была объявлена за пару недель до времени ч, из собственных сми народ так и не узнает, за кого он предпочтет голосовать. однако штабы кандидатов не могут находиться в вакууме, вот и заказывают так называемые закрытые соцопросы. социологи стараются, опрашивают, рисуют графики, но не всегда эти данные имеют статистическую погрешность - уж очень хочется угодить борцам за президентское кресло. тем не менее подавляющее большинство из них предрекают победу януковичу, а вот степень его отрыва от тимошенко у всех разная. одни считают, что она будет минимальная - 3-5%, а вот другие, наоборот, предрекают отрыв главного регионала от дамы с косой даже больше, чем было в первом туре. семнадцатого января разница составила 10%: янукович собрал 35,32% голосов, у тимошенко - 25,05%. нового президента украины объявят при любом разрыве между кандидатами аналитики украинской компании research branding group, которые проводили опросы еще до официального объявления даты второго тура, считают, что выиграет янукович. опрос проводился в 24-х областях украины и в автономной республике крым, было опрошено 3 тысячи 108 человек. социологи считают, что по украине в целом тимошенко наберет 31,6%, янукович - 44,9%, против всех проголосуют 9,2% граждан страны, а игнорировать выборы собираются 4% опрошенных. согласно этому опросу, во втором туре за тимошенко на западе украины готовы отдать голоса 60,6% избирателей, в центральной украине - 42%, а на юго-востоке страны - 11,9%. в то же время за януковича во втором туре на западной украине собираются голосовать всего 14,2% избирателей, в центральной части страны - 29,3%, а юго-восток готов отдать лидеру партии регионов 69,2% голосов. однако, проигрывая в борьбе за кресло главы государства, юлии владимировне удалось подняться над виктором федоровичем по крайней мере на предвыборных щитах, расставленных в центре города вдоль здания киевского главпочтамта, где над каждым стендом с портретом януковича висит неумолимая тимошенко, призывающая сограждан выбрать новый путь их общей страны. смотреть прогнозы по второму туру выборов на украине бой тяжеловесов за 10 дней до выборов партии регионов удалось нанести очень серьезный удар по позиции тимошенко: на заседании в парламенте было принято решение об отставке одного из наиболее активных сторонников премьер-леди - главы мвд страны юрия луценко. за его уход с этого поста проголосовал 231 депутат при необходимых 226 голосах. во фракции партии регионов возликовали: все, нокаут, большой бой закончен. в ответ тимошенко показала, что это всего лишь легкий нокдаун - буквально через пару часов на внеочередном заседании правительства луценко был назначен первым замом главы мвд и исполняющим обязанности министра. таким образом, она не только сумела отыграть очки, но и показать, что эта ситуация для ее штаба уже была спрогнозирована и очень не слабая команда аналитиков сумела подготовить варианты выхода из этой ситуации. о том, как луценко слетел, но очень быстро вернулся оглушенные таким ответом, регионалы пострадали-пострадали и сделали еще один ход: подали иск в суд. окружной административный суд киева приостановил действие решения кабинета министров, и луценко снова лишился только что отвоеванного поста руководителя мвд. правительство назвало информацию о решении суда ложью, сам же суд ситуацию пока не комментирует. каким будет окончательный счет в этом поединке политических супертяжеловесов, пока непонятно. по мнению генерального прокурора страны александра медведько, в данном случае должен руководить органами внутренних дел первый заместитель клюев михаил михайлович. если есть решение суда, его нужно исполнять, - сказал он. майдан сейчас больше синий агитационная кампания в преддверии второго тура проходит, по мнению корреспондентов риа новости, ни шатко, ни валко. в особенности это относится к тимошенко. и на майдане, и в других районах киева, синих палаток регионалов в разы больше, чем бело-красных палаток бютовцев. да и агитационной продукции у сторонников януковича больше. вернее, она там есть: и листовки, и календарики правда, плакатов уже не осталось. они давно кончились, еще в январе, - сказала в одной из палаток бойкая агитаторша. но вы календарики возьмите, я вам еще и программу дам, чтобы вы почитали, - добавила она. в пунктах агитации за тимошенко скучающие юноши и девушки студенческого возраста смогли предложить избирателям лишь январский спецвыпуск киевской газетки с тиражом 30 тысяч экземпляров, заверив, правда, что она все еще пользуется популярностью - берет народ.... тем не менее складывается ощущение, что никто ни за кого агитировать - по крайней мере, на улицах - не собирается, хотя, может быть, это чисто киевская проблема. что же касается билбордов или щитов, то пиар-команда тимошенко решила изменить имидж своей начальницы. если в период первотурья она улыбалась рядом с белым тигром, то сейчас на проезжающих по дорогам столицы смотрит очень строгая женщина, с жестким выражением лица и слегка улыбающимися глазами. именно так, по мнению пиарщиков юлии владимировны, должен выглядеть политик, способный к тяжелой, бескомпромиссной и затяжной борьбе. в мрачное подземелье киевского метро спустился только один из кандидатов - янукович, который с плакатов по-отечески следит за теми, кто проезжает по эскалатору. ждет ли киев новый майдан? прогнозы политологов на победу януковича заставляют задуматься, что же в этом случае предпримет тимошенко. и вот тут мнения аналитиков - а еще больше их подходы - начинают разниться. большинство единодушны: победит витя, а юля выведет людей на улицу. а насчет того, когда и из-за чего, есть три основных варианта. первый вариант, при котором все международные наблюдатели, в том числе западные, признают выборы, для тимошенко тупиковый. людей-то вывести можно, но толку от этого - никакого. при варианте 1а западники - или хотя бы часть из них - результатов не признают, и тут счастья в штабе тимошенко будет много. можно и митинговать, и попытаться повторить ситуацию рубежа 2004-2005 годов с его сказочным третьим туром. вариант два подразумевает, что разрыв между кандидатами составит 10-15%, и выборы будут признаны демократическими. в таком случае шансов у тимошенко мало и уже непонятно, выйдут ли на улицу ее сторонники. при третьем варианте разрыв будет менее 5%, и тут - вне зависимости от поддержки наблюдателей с запада - вступает в действие вариант 1а, то есть тимошенко выводит людей на майдан. корреспонденты риа новости опросили ведущих украинских политологов, которые должны были выбрать один из вышеперечисленных вариантов или предложить свой. их цитаты намеренно сведены до коротких, рубленых фраз без их обычного многословия. судебные иски со стороны тимошенко и народ на улицах будут наверняка. как со стороны януковича контроль над ключевыми местами столицы, чтобы не было чего, так и со стороны тимошенко. она будет добиваться компромисса: янукович - президент, тимошенко - премьер. разрыв будет около 5%, - сказал председатель правления центра прикладных политических исследований пента владимир фесенко. в свою очередь, директор киевского института проблем управления имени горшенина кость бондаренко отметил, что разрыв между кандидатами составит 5-7%, и возможны масштабные фальсификации на разных этапах голосования. это главная проблема второго тура. а тимошенко вряд ли сможет много людей вывести на улицу, - отметил эксперт. по прогнозу директора института глобальных стратегий вадима карасева, янукович обгонит тимошенко не более, чем на 5%, и в этом случае международные наблюдатели не будут единодушны. масштабные фальсификации практически невозможны, так как контроль с обоих сторон будет очень сильный. окончательное решение все-таки будет за цик и судом, а тимошенко все-таки выведет своих сторонников на улицу, - сказал политолог. в свою очередь, российский политолог алексей власов, возглавляющий центр постсоветских исследований мгу имени ломоносова, считает, что следует ожидать победы януковича с отрывом от тимошенко около 10%, при стандартной статистической погрешности. тимошенко поставит под сомнение результаты выборов и выведет своих сторонников на улицу проблема только в количестве людей, миллиона уже не будет если разрыв между двумя кандидатами составит менее 5%. большинство наблюдателей признает выборы легитимными, но можно допустить, что непонятные грузинские парни могут искусственно создать проблемы на ряде избирательных участков, - сказал он. молитва патриарха не остались в стороне от политической ситуации на украине и духовные лидеры. так, глава украинской греко-католической церкви угкц любомир гузар призвал верующих прийти 7 февраля на избирательные участки, и голосовать не против всех, а поддержать одного из кандидатов. в партии регионов сочли это агитацией за тимошенко, так как угкц имеет сильные позиции на западе страны, где большинство населения поддерживает даму с косой. паства церкви, по ее данным, насчитывает 5,5 миллиона человек. из россии же пришел другой голос, не агитирующий, а успокаивающий. патриарх московский и всея руси кирилл, совершивший в прошлом году поездку на украину, молится о правильном выборе украинского народа. я молюсь, чтобы и выбор был сделан правильный и чтобы вот это политическое землетрясение на украине прекратилось как можно быстрее, - сказал патриарх в воскресенье в интервью программе воскресное время. он пожелал успеха украинскому народу: дай бог, чтобы был сделан правильный выбор. чтобы последующее развитие событий не провоцировало возникновение непреодолимых конфликтов... и никаких конфликтов и никакого противостояния быть не должно. и политикам нужно осознать, что вместе надо решать задачи, даже если есть какие-то различия. для меня украинский народ - это мой народ. я не делю в своем сознании русских и украинцев. и вот в этом смысле я думаю очень важно нам сохранять это духовное единство с полным уважением суверенитета. тогда наша восточная европейская православная цивилизация будет важным фактором в международных отношениях и вообще в жизни всего человеческого рода. это если оценивать со светской точки зрения. а если с духовной, то мы сильнее духовно, когда мы все вместе. поэтому я желаю успеха украинскому народу, - заявил предстоятель русской православной церкви.",лютые выборы: есть ли вероятность второго майдана?
"мехико, 31 янв - риа новости, юрий николаев. группа вооруженных людей в ночь с субботы на воскресенье ворвалась в один из домов города сьюдад хуарес в мексиканском штате чиуауа, где местная молодежь собралась на вечеринку, и расстреляла 13 человек, еще 20 молодых людей получили ранения, сообщил представитель правоохранительных органов штата. по данным следствия, возраст погибших составил от 15 до 20 лет. полиция штата пока не располагает информацией о мотивах кровавого преступления. по показаниям свидетелей, вооруженные люди на семи внедорожниках подъехали к дому, заблокировали автомобилями улицу, после чего ворвались на вечеринку и открыли огонь по людям. как сообщают мексиканские сми, нападавшие были членами боевого крыла одного из местных наркокартелей. нападение было актом возмездия, так как одна из убитых девушек ранее проходила свидетелем по делу о массовом убийстве в этом городе. расположенный на севере страны на границе с сша город сьюдад-хуарес считается самым криминогенным городом мира. только за первые десять дней 2010 года в сьюдад-хуаресе были убиты, по неофициальным данным, более 100 человек. в 2009 году от насильственной смерти в городе скончались 2 тысячи 635 человек, а на 100 тысяч человек приходится 191 убийство.","жертвами бойни на севере мексики стали 13 молодых людей, еще 20 ранены"
"москва, 31 янв - риа новости. немецкий теннисист михаэль беррер стал победителем турнира серии челленджер в хайльбронне германия, призовой фонд которого составляет 85 тысяч евро. в финальном матче он взял верх над представителем казахстана андреем голубевым - 6:3, 7:6 7:4. победителями парных соревнований на турнире стали братья санчай и сончат ративатана таиланд.",немец беррер выиграл теннисный турнир на родине
"сараево, 31 янв - риа новости, юлия петровская. переходное торговое соглашение сербии с евросоюзом ес, предусматривающее постепенную либерализацию торговли в течение шести лет и открывающее путь к интеграции белграда в ес, официально вступает в силу 1 февраля 2010 года, сообщается на сайте европейской комиссии. европейский союз разморозил 7 декабря 2009 года переходное торговое соглашение с сербией. белград начал в одностороннем порядке применять этот документ 30 января 2009 года. полное применение сторонами переходного соглашения откроет путь к вступлению сербии в ес, - заявил глава делегации европейской комиссии в сербии венсан дежер, слова которого приводит агентство танюг. по словам дипломата, экономическое значение переходного соглашения заключается в том, что сербия станет привлекательной страной для зарубежных инвесторов. еврокомиссия при рассмотрении кандидатуры сербии на членство в ес будет учитывать прогресс в реализации данного соглашения, добавил дежер. вступление в европейский союз является главным внешнеполитическим приоритетом сербии. белград подал 19 декабря 2009 года официальную заявку на вступление в ес. власти сербии рассчитывают, что страна получит кандидатский статус до конца 2010 года и будет полностью подготовлена к вступлению в ес в 2014 году. переходное торговое соглашение предусматривает создание зоны свободной торговли между ес и сербией и регулирует некоторые важные аспекты экономической жизни, в частности, в сфере конкуренции и государственной помощи. соглашение гарантирует, что рынок ес будет оставаться открытым для практически всей сербской продукции. сербия подписала с ес 29 апреля 2008 соглашение о стабилизации и ассоциации и переходное торговое соглашение. однако эти документы были заморожены из-за позиции нидерландов, заявлявших, что белград в недостаточной степени сотрудничает с международным трибуналом по бывшей югославии мтбю в гааге. прокурор мтбю серж браммерц в своем последнем докладе, представленном в сб оон в начале декабря, заявил о прогрессе сотрудничества властей сербии с трибуналом. позитивная оценка усилий сербии со стороны прокурора мтбю способствовала смягчению позиции евросоюза.",переходное торговое соглашение сербии с ес вступает в силу 1 февраля
"афины, 31 янв - риа новости, алексей богдановский. генеральный секретарь оон пан ги мун заявил в воскресенье, что уверен в способности греко-кипрской и турко-кипрской общин договориться о воссоединении разделенного по этническому признаку кипра. сегодня я более чем когда-либо уверен в том, что взаимоприемлемое соглашение возможно, несмотря на большие и многочисленные проблемы, - сказал генсек оон на ужине в его честь от имени президента кипра, который показало в прямом эфире кипрское государственное телевидение. пан ги мун прибыл на кипр в воскресенье с трехдневным визитом. оон поддерживает переговоры между греко-кипрской и турко-кипрской общинами, но не является их стороной. оон вовлечена в процесс кипрского урегулирования с 1964 года, а с 1974 года остров разделен турецким военным вторжением. нынешние переговоры между президентом кипра димитрисом христофиасом и лидером турок-киприотов мехметом али талатом идут уже полтора года, но существенного прогресса добиться не удалось. генсек оон планирует встретиться с лидерами общин вместе и по-отдельности. пан ги мун выразил удовлетворение существенным прогрессом по ряду вопросов и призвал лидеров проявить волю, гибкость и стремление к компромиссу. он подчеркнул, что переговорный процесс проводят сами киприоты, и заверил, что оон продолжит поддержку урегулирования на острове.",генсек оон уверен в успехе мирных переговоров на кипре
"москва, 31 янв риа новости. леверкузенский байер со счетом 3:1 на своем поле переиграл фрайбург в матче 20-го тура чемпионата германии по футболу и вернулся на первое место в турнирной таблице. уже к перерыву счет был крупным 3:0, а ударной для байера стала пятиминутка в конце первого тайма, за которую и были забиты все голы. у хозяев отличились штефан кисслинг 36-я минута, эрен дердийок 37 и сами хююпя 40. во вором тайме единственный гол фрайбурга забил феликс бастианс 66. положение лидеров чемпионата германии после 20-го тура : байер 44 очка, бавария 42, шальке 41, боруссия 36, гамбург 35.",байер вернулся в лидеры чемпионата германии по футболу
"афины, 31 янв - риа новости, алексей богдановский. генеральный секретарь оон пан ги мун прибыл в воскресенье с трехдневным визитом на кипр, чтобы помочь межобщинным переговорам по воссоединению острова, сообщили местные телеканалы. это первый визит пан ги муна на остров. оон поддерживает переговоры между греко-кипрской и турко-кипрской общинами, но не является их стороной. оон вовлечена в процесс кипрского урегулирования с 1964 года, а с 1974 года остров де-факто разделен турецким военным вторжением. нынешние переговоры между президентом кипра димитрисом христофиасом и лидером турок-киприотов мехметом али талатом идут уже полтора года, но существенного прогресса добиться не удалось. генсек оон планирует встретиться с лидерами общин вместе и по отдельности. я рад, что был достигнут существенный прогресс в обсуждении ряда тем, - сказал генсек оон журналистам после прибытия на остров. по словам пан ги муна, он рассчитывает, что его присутствие поддержит переговоры, а лидеры общин будут работать над достижением компромисса. президент кипра димитрис христофиас на официальном ужине в никосии заверил пан ги муна, что будет добиваться проведения в жизнь резолюций оон по урегулированию. мы благодарны совету безопасности оон за то, что он, руководствуясь принципами международного права, заложил основы для двузонального двухобщинного федеративного решения, с политическим равноправием, единым суверенитетом, единым международным представительством и гражданством, - сказал христофиас. после полутора лет мы дошли до момента, когда требуется больше согласия в разных аспектах, чтобы открыть путь для скорейшего нахождения решения, - добавил президент кипра. при этом он признал, что до сих пор многие вопросы еще не обсуждались или обсуждались недостаточно.","генсек оон прибыл на кипр, чтобы помочь мирным переговорам"
"москва, 31 янв - риа новости. пожарным удалось ликвидировать возгорание, произошедшее в воскресенье вечером в гаражном кооперативе матвеевское на западе москвы, пострадавших нет, сообщил риа новости начальник пресс-службы столичного мчс евгений бобылев. по его словам, возгорание гаражей произошло по адресу улица лобачевского, 126. ранее сообщалось, что гаражи горели по адресу улица матвеевская, 42. пожар ликвидирован, пострадали семь гаражей, в которых сгорели пять машин. из сгоревших боксов пожарные эвакуировали шесть газовых баллонов, - сказал бобылев. в настоящее время причины возгорания устанавливаются.",ликвидирован пожар в гаражном кооперативе на западе москвы
